DEPT,CALI,DT,FTEMP,GR,ILD,NPHI,PERM_ATAGA,PERM_EFF_ATAGA,PHID_ATAGA,PHIE_ATAGA,RHOB,SP,VSH,Facies,Porosity,Sw,Perm,Eff_Perm,Vsh
8215.0,11.734398842,102.19999695,75.11796,37.156299591,1.9434000254,30.194099426,25714.849609,25714.849609,0.332787931,0.3093926013,2.1008999348,-1.5,0.0703009889,Sand,0.3431875407499999,0.07496783011466646,25714.849609,25714.849609,0.24770866394
8216.0,11.734398842,101.80000305,75.12711,37.968799591,1.9385000467,31.532300949,26215.1875,26215.1875,0.3335757256,0.3094015718,2.0996000767,-1.5,0.0724697933,Sand,0.3439999520625001,0.07672891222846845,26215.1875,26215.1875,0.25312533060666664
8216.5,11.734398842,101.69999695,75.13168,41.0,1.9286999702,32.401298523,26527.394531,26527.394531,0.3340606391,0.3070567548,2.0987999439,-1.5,0.0808352455,Sand,0.3445000350625,0.0810463018137495,26527.394531,26527.394531,0.2733333333333333
8217.0,11.734398842,101.69999695,75.13625,44.125,1.9198999405,33.110198975,29229.667969,29229.667969,0.3380605876,0.3076584339,2.0922000408,-1.0,0.0899310559,Sand,0.3486249745000001,0.0823535498231408,29229.667969,29229.667969,0.2941666666666667
8217.5,11.734398842,101.80000305,75.14082,45.656299591,1.9160000086,32.997898102,34174.367188,34174.367188,0.3446061015,0.3120164275,2.0813999176,-0.5,0.0945707858,Sand,0.35537505149999987,0.0794657036360018,34174.367188,34174.367188,0.30437533060666666
8218.0,11.734398842,102.40000153,75.14539,43.5,1.921900034,32.261699677,34966.042969,34966.042969,0.3455758095,0.3151401281,2.0797998905,-0.5,0.0880723521,Sand,0.35637506843750005,0.07592069661184542,34966.042969,34966.042969,0.29
8218.5,11.734398842,102.59999847,75.14996,41.4375,1.9326000214,31.283599854,31754.84375,31754.84375,0.3415151834,0.3134838641,2.0864999294,0.0,0.082079269,Sand,0.35218754412500003,0.07375984337763952,31754.84375,31754.84375,0.27625
8219.0,11.734398842,102.59960175,75.15453,41.313800812,1.9463000298,29.417100906,29400.966797,29400.966797,0.3383030593,0.3106546998,2.0917999744,0.0,0.0817265734,Sand,0.34887501599999987,0.06955729342225214,29400.966797,29400.966797,0.27542533874666664
8219.5,11.734398842,102.90000153,75.15911,43.031299591,1.9608999491,31.652799606,28889.791016,28889.791016,0.3375757933,0.3083108068,2.0929999352,0.0,0.086691618,Sand,0.34812504050000004,0.06311514103672289,28889.791016,28889.791016,0.28687533060666665
8220.0,11.734398842,102.99999237,75.16368,42.531299591,1.9678000212,32.820098877,25983.236328,25983.236328,0.333212167,0.3048121929,2.1001999378,0.5,0.0852309391,Sand,0.3436250388750001,0.06304157724082748,25983.236328,25983.236328,0.28354199727333335
